,words
1402,coronavirus
1403,something
1404,quickly
1405,end
1406,year
1407,one
1408,kill
1409,one
1410,african
1411,american
1412,man
1413,savior
1414,africanamericans
1415,man
1416,care
1417,man
1418,do
1419,virtually
1420,nothing
1421,look
1422,fact
1423,look
1424,talk
1425,look
1426,disastrous
1427,africanamerican
1428,community
1429,never
1430,yes
1431,systemic
1432,injustice
1433,country
1434,education
1435,work
1436,law
1437,enforcement
1438,enforce
1439,look
1440,vast
1441,majority
1442,police
1443,officer
1444,good
1445,decent
1446,honorable
1447,men
1448,woman
1449,risk
1450,live
1451,every
1452,day
1453,care
1454,u
1455,bad
1456,apple
1457,occur
1458,find
1459,sort
1460,hold
1461,accountable
1462,hold
1463,accountable
1464,president
1465,unite
1466,state
1467,call
1468,together
1469,entire
1470,group
1471,people
1472,white
1473,house
1474,everything
1475,civil
1476,right
1477,group
1478,police
1479,officer
1480,police
1481,chief
1482,work
1483,work
1484,change
1485,transparency
1486,happen
1487,cop
1488,happy
1489,happen
1490,george
1491,floyd
1492,cop
1493,happy
1494,happen
1495,breonna
1496,taylor
1497,like
1498,system
1499,people
1500,hold
1501,accountable
1502,violence
1503,response
1504,never
1505,appropriate
1506,never
1507,appropriate
1508,peaceful
1509,protest
1510,violence
1511,never
1512,appropriate
1513,peaceful
1514,protest
1515,nobody
1516,racist
1517,deal
1518,lot
1519,crosstalk
1520,fact
1521,racial
1522,insensitivity
1523,people
1524,aware
1525,people
1526,feel
1527,like
1528,insult
1529,demean
1530,important
1531,people
1532,many
1533,people
1534,hurt
1535,people
1536,feel
1537,big
1538,difference
1539,gigantic
1540,difference
1541,child
1542,able
1543,grow
1544,sense
1545,selfesteem
1546,little
1547,bite
1548,like
1549,guy
1550,friend
1551,look
1552,many
1553,people
1554,look
1555,nose
1556,people
1557,like
1558,irish
1559,catholic
1560,like
1561,grow
1562,scranton
1563,look
1564,people
1565,money
1566,look
1567,people
1568,different
1569,faith
1570,look
1571,people
1572,different
1573,color
1574,fact
1575,american
1576,bring
1577,country
1578,together
1579,bring
1580,everybody
1581,together
1582,nothing
1583,together
1584,defeat
1585,racism
1586,american
1587,oh
1588,lord
1589,ridiculous
1590,absolutely
1591,ridiculous
1592,violent
1593,crime
1594,favor
1595,law
1596,crosstalk
1597,law
1598,order
1599,justice
1600,people
1601,get
1602,treat
1603,fairly
1604,fact
1605,matter
1606,violent
1607,crime
1608,administration
1609,watch
1610,suburb
1611,unless
1612,wrong
1613,turn
1614,raise
1615,suburb
1616,dog
1617,whistle
1618,racism
1619,work
1620,anymore
1621,suburb
1622,large
1623,integrate
1624,many
1625,people
1626,today
1627,drive
1628,kid
1629,soccer
1630,practice
1631,andor
1632,black
1633,white
1634,hispanic
1635,car
1636,time
1637,past
1638,really
1639,threat
1640,suburb
1641,safety
1642,failure
1643,deal
1644,covid
1645,die
1646,suburb
1647,failure
1648,deal
1649,environment
1650,flood
1651,burn
1652,refusal
1653,anything
1654,suburb
1655,trouble
1656,look
1657,support
1658,police
1659,opportunity
1660,deal
1661,problem
1662,face
1663,totally
1664,oppose
1665,defunding
1666,police
1667,office
1668,matter
1669,fact
1670,police
1671,local
1672,police
1673,one
1674,defunding
1675,budget
1676,call
1677,million
1678,cut
1679,local
1680,law
1681,enforcement
1682,assistance
1683,need
1684,assistance
1685,need
1686,show
1687,call
1688,someone
1689,psychologist
1690,psychiatrist
1691,keep
1692,use
1693,force
1694,able
1695,talk
1696,people
1697,community
1698,police
1699,like
1700,officer
1701,get
1702,people
1703,community
1704,crime
1705,true
1706,true
1707,time
1708,anything
1709,hold
1710,public
1711,office
1712,former
1713,vice
1714,president
1715,clear
1716,clear
1717,public
1718,statement
1719,violence
1720,prosecute
1721,prosecute
1722,anyone
1723,commit
1724,prosecute
1725,fact
1726,care
1727,stay
1728,former
1729,spokesperson
1730,riot
1731,chaos
1732,violence
1733,help
1734,cause
1735,kellyanne
1736,conway
1737,point
1738,point
1739,keep
1740,try
1741,rile
1742,everything
1743,calm
1744,instead
1745,talk
1746,people
1747,get
1748,everybody
1749,together
1750,figure
1751,deal
1752,pour
1753,gasoline
1754,fire
1755,constantly
1756,every
1757,single
1758,solitary
1759,time
1760,fbi
1761,director
1762,unlike
1763,white
1764,supremacist
1765,antifa
1766,idea
1767,organization
1768,militia
1769,fbi
1770,director
1771,every
1772,body
1773,administration
1774,tell
1775,true
1776,bad
1777,idea
1778,idea
1779,anything
1780,president
1781,become
1782,weaker
1783,sicker
1784,poor
1785,divide
1786,violent
1787,vice
1788,president
1789,inherit
1790,recession
1791,ask
1792,fix
1793,leave
1794,boom
1795,economy
1796,cause
1797,recession
1798,regard
1799,weaker
1800,fact
1801,head
1802,head
1803,putin
1804,clear
1805,stuff
1806,putin
1807,puppy
1808,still
1809,refuse
1810,even
1811,anything
1812,putin
1813,bounty
1814,head
1815,american
1816,soldier
1817,never
1818,keep
1819,word
1820,get
1821,back
1822,second
1823,thirdly
1824,poor
1825,billionaire
1826,get
1827,much
1828,wealthy
1829,tune
1830,billion
1831,since
1832,covid
1833,home
1834,get
1835,le
1836,trouble
1837,term
1838,violent
1839,office
1840,le
1841,violence
1842,america
1843,today
1844,president
1845,unite
1846,state
1847,watch
1848,regard
1849,divide
1850,nation
1851,stay
1852,divide
1853,speak
1854,son
1855,talk
1856,military
1857,talk
1858,loser
1859,sucker
1860,son
1861,iraq
1862,spend
1863,year
1864,get
1865,brown
1866,star
1867,get
1868,conspicuous
1869,service
1870,medal
1871,loser
1872,patriot
1873,people
1874,leave
1875,behind
1876,hero
1877,resent
1878,talk
1879,son
1880,beau
1881,biden
1882,talk
1883,hunter
1884,true
1885,dishonorably
1886,discharge
1887,none
1888,true
1889,true
1890,son
1891,like
1892,lot
1893,people
1894,home
1895,drug
1896,problem
1897,overtake
1898,fix
1899,work
1900,proud
1901,proud
1902,son
1903,give
1904,ten
1905,million
1906,dollar
1907,crosstalk
1908,discredit
1909,true
1910,report
1911,totally
1912,discredit
1913,mitt
1914,romney
1915,committee
1916,worth
1917,taxpayer
1918,money
1919,report
1920,write
1921,political
1922,reason
1923,would
1924,relax
1925,fuel
1926,economy
1927,standard
1928,create
1929,pollution
1930,car
1931,truck
1932,absolutely
1933,wrong
1934,number
1935,one
1936,number
1937,two
1938,fact
1939,administration
1940,recovery
1941,act
1942,charge
1943,able
1944,bring
1945,cost
1946,renewable
1947,energy
1948,cheaper
1949,cheap
1950,coal
1951,gas
1952,oil
1953,nobody
1954,build
1955,another
1956,coal
1957,fire
1958,plant
1959,america
1960,one
1961,build
1962,another
1963,oil
1964,fire
1965,plant
1966,america
1967,move
1968,renewable
1969,energy
1970,number
1971,one
1972,number
1973,two
1974,sure
1975,able
1976,federal
1977,fleet
1978,turn
1979,fleet
1980,run
1981,electric
1982,vehicle
1983,sure
1984,put
1985,charge
1986,station
1987,highway
1988,build
1989,future
1990,build
1991,economy
1992,fact
1993,provide
1994,ability
1995,u
1996,million
1997,build
1998,sure
1999,fact
2000,weatherized
2001,fact
2002,emit
2003,significantly
2004,le
2005,gas
2006,oil
2007,heat
2008,many
2009,gas
2010,oil
2011,heat
2012,many
2013,create
2014,thousand
2015,thousand
2016,job
2017,get
2018,net
2019,zero
2020,term
2021,energy
2022,production
2023,cost
2024,people
2025,job
2026,create
2027,job
2028,create
2029,million
2030,goodpaying
2031,job
2032,buck
2033,hour
2034,prevail
2035,wage
2036,new
2037,infrastructure
2038,fact
2039,green
2040,first
2041,rejoin
2042,paris
2043,accord
2044,join
2045,paris
2046,accord
2047,u
2048,look
2049,happen
2050,fall
2051,apart
2052,talk
2053,someone
2054,relationship
2055,foreign
2056,policy
2057,rainforest
2058,brazil
2059,tear
2060,rip
2061,carbon
2062,absorb
2063,rainforest
2064,every
2065,bite
2066,carbon
2067,emit
2068,unite
2069,state
2070,instead
2071,something
2072,would
2073,gather
2074,sure
2075,country
2076,world
2077,come
2078,billion
2079,billion
2080,stop
2081,tear
2082,forest
2083,significant
2084,economic
2085,consequence
2086,well
2087,draw
2088,line
2089,sure
2090,methane
2091,problem
2092,emit
2093,methane
2094,without
2095,problem
2096,methane
2097,guy
2098,mileage
2099,standard
2100,automobile
2101,exist
2102,guy
2103,fact
2104,true
2105,deal
2106,talk
2107,biden
2108,plan
2109,crosstalk
2110,true
2111,true
2112,true
2113,look
2114,simply
2115,case
2116,create
2117,thousand
2118,million
2119,job
2120,good
2121,pay
2122,job
2123,crosstalk
2124,fact
2125,create
2126,million
2127,good
2128,pay
2129,job
2130,tax
2131,incentive
2132,people
2133,weatherize
2134,get
2135,rid
2136,economy
2137,much
2138,safer
2139,look
2140,much
2141,pay
2142,deal
2143,hurricane
2144,deal
2145,answer
2146,hurricane
2147,maybe
2148,drop
2149,nuclear
2150,weapon
2151,may
2152,yeah
2153,deal
2154,position
2155,create
2156,hard
2157,hard
2158,good
2159,job
2160,sure
