,words
1848,really
1849,name
1850,one
1851,group
1852,support
1853,name
1854,one
1855,group
1856,come
1857,support
1858,ahead
1859,time
1860,right
1861,name
1862,one
1863,law
1864,enforcement
1865,group
1866,come
1867,support
1868,never
1869,do
1870,oh
1871,really
1872,send
1873,u
1874,marshall
1875,get
1876,killer
1877,young
1878,man
1879,middle
1880,street
1881,shoot
1882,three
1883,day
1884,portland
1885,anything
1886,send
1887,u
1888,marshal
1889,care
1890,business
1891,mean
1892,answer
1893,stuff
1894,wait
1895,second
1896,statement
1897,would
1898,love
1899,end
1900,send
1901,national
1902,guard
1903,would
1904,problem
1905,accept
1906,national
1907,guard
1908,sure
1909,would
1910,almost
1911,everything
1912,leave
1913,wing
1914,right
1915,wing
1916,will
1917,anything
1918,peace
1919,call
1920,give
1921,name
1922,give
1923,name
1924,ahead
1925,condemn
1926,proud
1927,boy
1928,stand
1929,back
1930,stand
1931,tell
1932,somebody
1933,get
1934,something
1935,antifa
1936,leave
1937,right
1938,wing
1939,problem
1940,leave
1941,wing
1942,oh
1943,get
1944,kid
1945,well
1946,wrong
1947,antifa
1948,bad
1949,antifa
1950,dangerous
1951,radical
1952,group
1953,ought
1954,careful
1955,throw
1956,never
1957,administration
1958,president
1959,do
1960,do
1961,period
1962,three
1963,half
1964,year
1965,despite
1966,impeachment
1967,hoax
1968,happen
1969,today
1970,hillary
1971,clinton
1972,whole
1973,big
1974,con
1975,job
1976,despite
1977,fight
1978,flank
1979,behind
1980,never
1981,administration
1982,do
1983,do
1984,greatest
1985,covid
1986,come
1987,greatest
1988,economy
1989,history
1990,lowest
1991,unemployment
1992,number
1993,everything
1994,good
1995,everything
1996,unity
1997,happen
1998,people
1999,call
2000,first
2001,time
2002,year
2003,call
2004,time
2005,maybe
2006,happen
2007,get
2008,hit
2009,build
2010,back
2011,rebuild
2012,military
2013,include
2014,space
2015,force
2016,fix
2017,va
2018,mess
2019,people
2020,die
2021,proper
2022,health
2023,care
2024,mess
2025,get
2026,approval
2027,rat
2028,va
2029,vet
2030,care
2031,vet
2032,rebuild
2033,military
2034,tell
2035,something
2036,people
2037,maybe
2038,important
2039,end
2040,first
2041,term
2042,approximately
2043,federal
2044,judge
2045,court
2046,appeal
2047,judge
2048,hopefully
2049,three
2050,great
2051,supreme
2052,court
2053,judge
2054,justice
2055,record
2056,like
2057,people
2058,one
2059,reason
2060,many
2061,judge
2062,president
2063,obama
2064,leave
2065,judge
2066,fill
2067,leave
2068,office
2069,leave
2070,judge
2071,like
2072,leave
2073,open
2074,member
2075,party
2076,little
2077,different
2078,philosophy
2079,leave
2080,u
2081,open
2082,good
2083,president
2084,good
2085,vice
2086,president
2087,thank
2088,give
2089,u
2090,almost
2091,probably
2092,number
2093,end
2094,term
2095,judge
2096,record
2097,son
2098,get
2099,three
2100,half
2101,million
